1533183|WA|Newport Geophysical Observatory|locale|Pend Oreille|53|051|481552N|1170721W|48.26444|-117.1225||||||||Bead Lake
1843492|WI|Buckstaff Observatory|locale|Winnebago|55|139|440240N|0883214W|44.04444|-88.53722||||||||Oshkosh
1581315|WI|Pine Bluff Observatory|locale|Dane|55|025|430439N|0894018W|43.0775|-89.67167||||||||Cross Plains
1834194|WI|Smith Observatory|locale|Rock|55|105|423006N|0890156W|42.50167|-89.03222||||||||Beloit
1842743|WI|Washburn Observatory|locale|Dane|55|025|430434N|0892432W|43.07611|-89.40889||||||||Madison West
1581376|WI|Yerkes Observatory|locale|Walworth|55|127|423413N|0883322W|42.57028|-88.55611||||||||Walworth
1553670|WV|National Radio Astronomy Observatory|locale|Pocahontas|54|075|382616N|0795011W|38.43778|-79.83639|||||3080|||Green Bank
2042280|AZ|Mount Graham International Observatory|building|Graham|04|009|324210N|1095329W|32.70278|-109.89139||||||||Webb Peak
1942772|CT|Roinick Observatory|building|Fairfield|09|001|411015N|0731947W|41.17083|-73.32972||||||||Westport
1998977|DC|Admiral's House Naval Observatory|building|District of Columbia|11|001|385522N|0770357W|38.92278|-77.06583||||||||Washington West
2048561|IA|Drake Observatory|building|Polk|19|153|413544N|0934114W|41.59556|-93.68722||||||||Des Moines SW
1997283|IA|Gale Observatory|building|Poweshiek|19|157|414522N|0924310W|41.75611|-92.71944||||||||Grinnell North
1995706|IA|O'Donoghue Observatory|building|Woodbury|19|193|422825N|0962131W|42.47361|-96.35861||||||||Sergeant Bluff
2001212|IA|Observatory|building|Dubuque|19|061|423020N|0904043W|42.50556|-90.67861||||||||Dubuque North
1977444|MA|Durfee Observatory|building|Hampshire|25|015|422325N|0723122W|42.39028|-72.52278||||||||Mount Toby
1974732|MA|Maria Mitchell Observatory|building|Nantucket|25|019|411650N|0700615W|41.28056|-70.10417||||||||Nantucket
1977831|MA|Williston Observatory|building|Hampshire|25|015|421521N|0723443W|42.25583|-72.57861||||||||Mount Holyoke
2043465|NJ|United Astronomy Clubs of New Jersey Observatory|building|Warren|34|041|405424N|0745540W|40.90667|-74.92778||||||||Blairstown
1993593|VI|National Radio Astronomy Observatory|building|St. Croix|78|010|174533N|0643501W|17.75917|-64.58361||||||||Buck Island
1954412|WA|David A Johnston Cascades Volcano Observatory|building|Clark|53|011|453647N|1222944W|45.61306|-122.49556||||||||Camas
2013906|WV|Morgan County Observatory|building|Morgan|54|065|392849N|0781317W|39.48028|-78.22139|||||1005|||Glengary
