    PK06F010  2008 02 19.2950  4.119464  0.121490  186.8013  124.7579   21.2627  20071027   8.0  4.0  P/2006 F1 (Kowalski)
    PK06H30R  2007 01  2.2688  1.226252  0.843037  117.4001  309.9525   31.8860  20071027  11.0  4.0  P/2006 HR30 (Siding Spring)
    CK06K010  2007 07 20.5801  4.425491  1.001681  296.4456   72.1158   53.8765  20071027   7.5  4.0  C/2006 K1 (McNaught)
    CK06K030  2007 03 13.3461  2.501357  1.000925  328.0686   49.4020   92.6164  20071027   8.0  4.0  C/2006 K3 (McNaught)
    CK06K040  2007 11 29.3278  3.188571  0.998055  233.6117  116.6024  111.3435  20071027   6.0  4.0  C/2006 K4 (NEAT)
    CK06L020  2006 11 20.2355  1.994189  1.001040   48.0503  239.2486  101.0199  20071027   9.0  4.0  C/2006 L2 (McNaught)
    CK06M010  2007 02 13.9454  3.556205  0.977343  122.8954  231.6165   54.8742  20071027   8.5  4.0  C/2006 M1 (LINEAR)
    CK06M040  2006 09 28.6922  0.783051  1.000054   62.5891  148.7273  111.8223  20071027   8.5  4.0  C/2006 M4 (SWAN)
    CK06O02F  2008 09 15.7002  2.431667  1.000599   95.6068  318.5095   30.1700  20071027   5.5  4.0  C/2006 OF2 (Broughton)
    CK06P010  2007 01 12.7716  0.170959  0.999999  155.9923  267.4085   77.8422  20071027   6.0  4.0  C/2006 P1 (McNaught)
    CK06Q010  2008 07  3.8154  2.763723  0.999975  344.3696  199.5504   59.0437  20071027   5.0  4.0  C/2006 Q1 (McNaught)
    PK06R020  2006 06 15.4796  3.039465  0.271164  188.9302  139.1422   16.3152  20071027  11.0  4.0  P/2006 R2 (Christensen)
    CK06S020  2007 05  7.3488  3.161432  1.002063  166.3423  113.8886   98.9751  20071027  10.0  4.0  C/2006 S2 (LINEAR)
    CK06S030  2012 04 17.3239  5.146154  0.999700  139.9791   38.3464  166.0332  20071027   2.0  4.0  C/2006 S3 (LONEOS)
