    CK09T030  2010 01 10.0391  2.266343  0.998972   32.3363   60.1745  148.5876  20190514  12.5  4.0  C/2009 T3 (LINEAR)                                       MPC 82315
    CK09U030  2010 03 16.1380  1.432005  0.991815   78.0190   49.0930   51.0777  20190514  13.0  4.0  C/2009 U3 (Hill)                                         MPC 70812
    PK09U040  2021 02  1.2663  1.647239  0.675655  259.8418   55.3641   10.0812  20190514  14.0  4.0  P/2009 U4 (McNaught)                                     MPC 75711
    CK09U050  2010 06 20.5664  6.135633  1.003271   24.2158  121.1006   25.4222  20190514   7.0  4.0  C/2009 U5 (Grauer)                                       MPC 82315
    CK09U89G  2010 12 11.7982  3.949718  1.005524   60.7201  321.0681  130.2258  20190514   9.0  4.0  C/2009 UG89 (Lemmon)                                     MPC 82315
    CK09W020  2010 05  6.6927  6.892608  0.998506  121.4539  199.5811  164.4958  20190514   7.0  4.0  C/2009 W2 (Boattini)                                     MPC 72851
    PK09W51X  2020 11 16.3695  0.799409  0.740246  118.0997   31.6810    9.5980  20190514  19.0  2.0  P/2009 WX51 (Catalina)                                   MPC105235
    CK09Y010  2011 01 29.6645  2.498608  0.992564  127.0810  160.1337  107.3262  20190514   9.0  4.0  C/2009 Y1 (Catalina)                                     MPC 82316
    PK09Y020  2026 12  9.9737  2.383850  0.635797  172.2887  262.0238   29.9357  20190514  13.0  4.0  P/2009 Y2 (Kowalski)                                     MPC 74247
    PK10A030  2025 03 17.7234  1.625884  0.732301   41.5624   64.5272   14.9409  20190514  14.0  4.0  P/2010 A3 (Hill)                                         MPC 75711
    CK10A040  2010 10 11.6833  2.719013  0.990493  271.5404  346.5888   96.6640  20190514  12.5  4.0  C/2010 A4 (Siding Spring)                                MPC 77403
    PK10A050  2021 10 17.1747  1.702092  0.665383  307.0732  277.6663    5.7980  20190514  13.0  4.0  P/2010 A5 (LINEAR)                                       MPC 72851
    CK10B010  2011 02  6.2515  2.941197  0.999418  211.5917  277.2921  101.7269  20190514   7.5  4.0  C/2010 B1 (Cardinal)                                     MPC111766
    PK10B020  2020 12  4.5706  1.616392  0.480070  155.9581    0.8613    8.9328  20190514  17.0  4.0  P/2010 B2 (WISE)                                         MPC105235
    PK10C010  2028 10 25.8382  5.259500  0.259071    4.0091  141.8900    9.1314  20190514   9.5  4.0  P/2010 C1 (Scotti)                                       MPC 75008
    PK10D020  2027 07 19.1242  3.689173  0.450545  120.2395  319.8786   57.0937  20190514  16.0  4.0  P/2010 D2 (WISE)                                         MPC 75008
    CK10D030  2010 09  1.8449  4.262376  1.000068  304.7554  255.0450   76.3076  20190514   9.0  4.0  C/2010 D3 (WISE)                                         MPC112389
    CK10D040  2009 03 28.8346  7.160615  0.886221   44.4692  266.7255  105.8098  20190514   6.5  4.0  C/2010 D4 (WISE)                                         MPC 76025
    CK10D56G  2010 05 14.9395  1.573392  0.976367  318.1801    4.0039  160.4258  20190514  16.0  4.0  C/2010 DG56 (WISE)                                       MPC 74248
    CK10E010  2009 11  3.0200  2.689519  0.975928  297.1905  169.3403   71.6434  20190514  11.5  4.0  C/2010 E1 (Garradd)                                      MPC 70361
    PK10E020  2010 04  8.9260  2.404248  0.721492    8.3603  177.8222   15.4401  20190514  14.0  4.0  P/2010 E2 (Jarnac)                                       MPC 75009
    CK10E050  2009 11 18.2075  3.918420  0.843173  148.1121   16.9906   18.9025  20190514  10.5  4.0  C/2010 E5 (Scotti)                                       MPC 70361
    CK10F010  2009 11  6.0530  3.618848  0.947724  127.7313  344.4582   64.8787  20190514   9.5  4.0  C/2010 F1 (Boattini)                                     MPC 72132
    CK10F030  2010 08  4.0082  5.477295  0.915067   31.5338  157.3616    4.6438  20190514   8.5  4.0  C/2010 F3 (Scotti)                                       MPC 82316
    CK10F87B  2010 11  7.2362  2.845056  0.987656  265.0574   90.0783  107.9044  20190514  10.0  4.0  C/2010 FB87 (WISE-Garradd)                               MPC 82316
    CK10G010  2010 03 31.7268  1.213342  0.997545  168.7322  287.7048   78.0326  20190514  12.5  4.0  C/2010 G1 (Boattini)                                     MPC 70816
    CK10G020  2011 09  3.0598  1.966230  0.978764  137.3032  247.0567  103.7519  20190514   8.0  4.0  C/2010 G2 (Hill)                                         MPC 83142
    CK10G030  2010 04  7.0902  4.924122  0.995276   75.2551  313.8042  108.4119  20190514   8.5  4.0  C/2010 G3 (WISE)                                         MPC 75292
    CK10H010  2010 06 21.1898  2.747848  0.999561  233.9005  347.3163   36.4747  20190514  13.0  4.0  C/2010 H1 (Garradd)                                      MPC 82316
    PK10H020  2017 09 11.3457  3.089868  0.195341  128.6200   64.2389   14.2742  20190514   6.0  4.0  P/2010 H2 (Vales)                                        MPC 72851
    PK10H030  2021 02  8.1326  0.046677  0.984788   24.9445   78.2459   23.8109  20190514  20.0  2.0  P/2010 H3 (SOHO)                                         MPC 70361
    PK10H040  2027 05 16.0423  4.814939  0.268725  179.5209   44.7611    2.3210  20190514  10.5  4.0  P/2010 H4 (Scotti)                                       MPC 73463
    PK10H050  2010 04 18.2633  6.039292  0.155212  175.3339   24.8086   14.0801  20190514  13.0  2.0  P/2010 H5 (Scotti)                                       MPC 74637
    CK10J010  2010 01 31.6867  1.708219  0.952711  332.9141  254.5395  134.5184  20190514  12.0  4.0  C/2010 J1 (Boattini)                                     MPC 71278
    CK10J020  2010 05 30.6498  3.386855  0.997456    4.4190  311.6935  125.9868  20190514   9.0  4.0  C/2010 J2 (McNaught)                                     MPC 75712
    PK10J030  2010 08 28.9281  2.439565  0.727809  157.5072  106.4165   13.2873  20190514  11.0  4.0  P/2010 J3 (McMillan)                                     MPC 82316
    PK10J81C  2011 04 18.9436  1.818691  0.775941   12.5002   30.8328   38.6331  20190514   9.0  4.0  P/2010 JC81 (WISE)                                       MPC 84315
    CK10K07W  2010 10 14.1023  2.566593  0.973897  332.7109  105.1825  147.0300  20190514  15.0  2.0  C/2010 KW7 (WISE)                                        MPC 74248
    CK10L030  2010 11  9.1163  9.913675  0.999636  121.9476   38.2893  102.5158  20190514   4.5  4.0  C/2010 L3 (Catalina)                                     MPC 83518
    CK10L040  2010 02 24.1804  2.812661  0.964481   95.5906  125.3302  102.6942  20190514  11.5  4.0  C/2010 L4 (WISE)                                         MPC112389
    CK10L050  2010 04 16.5449  0.786395  0.901990  214.3723  206.4248  146.9146  20190514  18.0  4.0  C/2010 L5 (WISE)                                         MPC 74248
    CK10R010  2012 05 17.6516  5.650661  1.000274  114.7913  343.7439  156.9577  20190514   6.0  4.0  C/2010 R1 (LINEAR)                                       MPC 88325
    CK10S010  2013 05 20.2976  5.899904  1.001921  118.6146   93.4304  125.3358  20130528   3.5  4.0  C/2010 S1 (LINEAR)                                       MPEC 2019-T169
    PK10T020  2024 04 11.1926  3.716779  0.321253  354.8077   59.5186    8.0205  20190514  11.5  4.0  P/2010 T2 (PANSTARRS)                                    MPC 74248
    PK10T20O  2022 11 29.3946  5.512871  0.053228  267.4250   43.3022    2.4804  20190514   9.0  4.0  P/2010 TO20 (LINEAR-Grauer)                              MPC 81468
